Distance_to_Outlet_m,Channel_Width
29.9985,8.98808353731271e-06
89.99549,8.98808353731271e-06
149.9925,8.98808353731271e-06
209.9895,1.07857002447753e-05
269.9865,8.98808353731271e-06
329.9835,8.98808353731271e-06
389.9805,7.19046682985017e-06
449.9774,1.07857002447753e-05
509.9745,7.19046682985017e-06
569.9714,8.98808353731271e-06
629.9684,1.07857002447753e-05
689.9655,8.98808353731271e-06
749.9624,8.98808353731271e-06
809.9594,8.98808353731271e-06
869.9564,8.98808353731271e-06
929.9534,1.07857002447753e-05
989.9504,8.98808353731271e-06
1049.947,8.98808353731271e-06
1109.944,1.07857002447753e-05
1169.941,8.98808353731271e-06
1229.938,8.98808353731271e-06
1289.935,1.07857002447753e-05
1349.932,1.61785503671629e-05
1409.929,1.79761670746254e-05
1469.926,1.79761670746254e-05
1529.923,1.79761670746254e-05
1589.92,1.9773783782088e-05
1649.917,2.87618673194007e-05
1709.914,2.3369017197013e-05
1769.911,2.87618673194007e-05
1829.908,2.69642506119381e-05
1889.905,2.87618673194007e-05
1949.902,2.69642506119381e-05
2009.899,2.51666339044756e-05
2069.896,2.69642506119381e-05
2129.893,2.69642506119381e-05
2189.89,2.69642506119381e-05
2249.887,2.87618673194007e-05
2309.884,2.69642506119381e-05
2369.881,2.87618673194007e-05
2429.878,2.87618673194007e-05
2489.875,2.87618673194007e-05
2549.872,2.69642506119381e-05
2609.869,2.69642506119381e-05
2669.866,2.69642506119381e-05
2729.863,2.87618673194007e-05
2789.86,2.69642506119381e-05
2849.857,2.51666339044756e-05
2909.854,2.87618673194007e-05
2969.851,3.05594840268632e-05
3029.848,2.69642506119381e-05
3089.845,2.51666339044756e-05
3149.842,2.69642506119381e-05
3209.839,2.69642506119381e-05
3269.836,2.69642506119381e-05
3329.833,2.51666339044756e-05
3389.83,2.87618673194007e-05
3449.827,2.51666339044756e-05
3509.824,2.87618673194007e-05
3569.821,2.87618673194007e-05
3629.818,2.69642506119381e-05
3689.815,2.87618673194007e-05
3749.812,2.3369017197013e-05
3809.809,2.87618673194007e-05
3869.806,2.51666339044756e-05
3929.803,2.87618673194007e-05
3989.8,2.3369017197013e-05
4049.797,2.87618673194007e-05
4109.794,2.51666339044756e-05
4169.791,2.87618673194007e-05
4229.788,2.69642506119381e-05
4289.785,2.87618673194007e-05
4349.782,2.69642506119381e-05
4409.779,2.51666339044756e-05
4469.776,2.69642506119381e-05
4529.773,2.69642506119381e-05
4589.77,2.69642506119381e-05
4649.767,2.87618673194007e-05
4709.764,2.87618673194007e-05
