Distance_to_Stream_m,Hillslope_Width
29.9985,148324.583258783
89.99549,149435.370777296
149.9925,136273.967078361
209.9895,125251.795620073
269.9865,116419.270359399
329.9835,110167.939695451
389.9805,106247.414308626
449.9774,102063.055880338
509.9745,97515.7169618862
569.9714,95374.8042560073
629.9684,93924.5627605808
689.9654,91373.6165380344
749.9624,90020.842026078
809.9594,89437.7205904893
869.9564,88111.8335222488
929.9534,87177.4948531212
989.9504,86204.5054836519
1049.947,84562.6909517495
1109.944,82752.8298966227
1169.941,80040.559011781
1229.938,77872.7588621862
1289.935,74374.0302486542
1349.932,71234.9211948225
1409.929,70668.6044115563
1469.926,71214.7556120356
1529.923,70218.2397293149
1589.92,70187.9913551345
1649.917,69186.4340767171
1709.914,68655.407063328
1769.911,68258.8172685184
1829.908,66267.4659683093
1889.905,65528.0612661219
1949.902,64639.0951582648
2009.899,65746.5217463136
2069.896,65674.2617413272
2129.893,65570.072896928
2189.89,64269.3928071712
2249.887,63429.1601910492
2309.884,62501.5433828505
2369.881,61190.7805017002
2429.878,58498.6751996453
2489.875,58011.3402822946
2549.872,57461.8281513508
2609.869,56971.1323035356
2669.866,57376.1244245063
2729.863,56125.8582917168
2789.86,54860.4679718371
2849.857,52983.3883074206
2909.854,51240.7458615836
2969.851,48027.6963375331
3029.848,45624.6310554242
3089.845,43065.2825067166
3149.842,41857.0280047332
3209.839,40334.5265043201
3269.836,38675.9073200953
3329.833,37571.841662511
3389.83,35525.0350096378
3449.827,33212.7148500701
3509.824,30939.045390844
3569.821,29604.7559964423
3629.818,28554.4652262898
3689.815,27299.1576978035
3749.812,25885.8864374863
3809.809,24430.603546363
3869.806,23637.4239567439
3929.803,22909.7825111822
3989.8,22077.9522212215
4049.797,21168.8205305775
4109.794,20573.9358383631
4169.791,19688.3306609705
4229.788,18444.78638911
4289.785,16572.7481203902
4349.782,14932.61405372
4409.779,13870.5600269418
4469.776,12793.3818130735
4529.773,11475.8970709942
4589.77,10512.9904929184
4649.767,9637.46810691925
4709.764,8489.71035329661
4769.761,7165.50375028835
4829.758,6019.42646189795
4889.755,5458.15107432846
4949.752,5167.43058915025
5009.749,5001.0645311581
5069.746,4797.72823805657
5129.743,4293.58866838338
5189.74,3858.34817323219
5249.737,3663.41420629188
5309.734,3609.63931886008
5369.731,3120.62393627708
5429.728,2631.60855369408
5489.725,1934.21548231283
5549.722,1687.18709317296
5609.719,1419.99312124617
5669.716,1100.70472711981
5729.713,804.942846244868
5789.71,519.263756763391
5849.707,389.867933880604
5909.704,302.483741803917
5969.701,226.862806352938
6029.698,210.058154030498
6089.695,159.644197063178
6149.692,126.034892418299
6209.689,78.9818659154673
6269.686,52.0944221995635
6329.683,35.2897698771237
6389.68,23.5265132514158
6449.677,20.1655827869278
6509.674,1.68046523224398
